,date,trial_end_date,h_clients_hk,Test_group,Prolongation_tariff,prolongation_date,price_payed,converted,,,,profi,1390,258,,,,,,,,
1,17.03.2026,17.03.2026,Client_id_1,A,0,29.03.2026,0,0,,,,business,2200,139,,,,,,,,
2,16.03.2026,16.03.2026,Client_id_2,A,business,20.03.2026,2200,1,,,,business_plus,2700,104,,,,,,,,
3,16.03.2026,16.03.2026,Client_id_3,A,0,18.03.2026,0,0,,,,0,0,501,,,,,,,,
4,17.03.2026,17.03.2026,Client_id_4,A,0,18.03.2026,0,0,,,,,,4104,,,,,,,,
5,20.03.2026,20.03.2026,Client_id_5,A,0,21.03.2026,0,0,,,,,,"0,1220760234",,,,,,,,
6,18.03.2026,18.03.2026,Client_id_6,A,0,30.03.2026,0,0,,,1,profi,,,,,,,,,,
7,22.03.2026,22.03.2026,Client_id_7,A,0,23.03.2026,0,0,,,2,profi,,,,,,,,,,
8,18.03.2026,18.03.2026,Client_id_8,A,0,28.03.2026,0,0,,,3,profi,,,,,,,,,,
9,16.03.2026,16.03.2026,Client_id_9,A,profi,18.03.2026,1390,1,,,4,profi,,,,,,,,,,
10,21.03.2026,21.03.2026,Client_id_10,A,0,29.03.2026,0,0,,,5,profi,,,,,,,,,,
11,21.03.2026,21.03.2026,Client_id_11,A,0,26.03.2026,0,0,,,6,business,,,,,,,,,,
12,20.03.2026,20.03.2026,Client_id_12,A,0,30.03.2026,0,0,,,7,business,,,,,,,,,,
13,21.03.2026,21.03.2026,Client_id_13,A,0,27.03.2026,0,0,,,8,business,,,,,,,,,,
14,18.03.2026,18.03.2026,Client_id_14,A,0,24.03.2026,0,0,,,9,business_plus,,,,,,,,,,
15,22.03.2026,22.03.2026,Client_id_15,A,0,29.03.2026,0,0,,,10,business_plus,,,,,,,,,,
16,16.03.2026,16.03.2026,Client_id_16,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
17,19.03.2026,19.03.2026,Client_id_17,A,0,23.03.2026,0,0,,,,,,,,CRs,Всего группа,Конверсии,Доля,,,
18,16.03.2026,16.03.2026,Client_id_18,A,0,23.03.2026,0,0,,,,А,B,C,,A,4104,364,"0,08869395712",,,
19,22.03.2026,22.03.2026,Client_id_19,A,0,31.03.2026,0,0,,,1,1,1,1,,B,0,0,#DIV/0!,,,
20,16.03.2026,16.03.2026,Client_id_20,A,0,20.03.2026,0,0,,,2,1,1,1,,C,0,0,#DIV/0!,,,
21,22.03.2026,22.03.2026,Client_id_21,A,0,05.04.2026,0,0,,,3,1,1,1,,,,,,,,
22,18.03.2026,18.03.2026,Client_id_22,A,0,25.03.2026,0,0,,,4,1,1,1,,,,,,,,
23,20.03.2026,20.03.2026,Client_id_23,A,profi,28.03.2026,1390,1,,,5,1,1,1,,,,,,,,
24,21.03.2026,21.03.2026,Client_id_24,A,0,25.03.2026,0,0,,,6,1,1,1,,,,Даты,a,b,c,Итого
25,17.03.2026,17.03.2026,Client_id_25,A,0,25.03.2026,0,0,,,7,1,1,1,,1,201,16.03.2026,625,0,0,625
26,17.03.2026,17.03.2026,Client_id_26,A,0,18.03.2026,0,0,,,8,1,1,1,,2,402,17.03.2026,594,0,0,594
27,21.03.2026,21.03.2026,Client_id_27,A,0,24.03.2026,0,0,,,9,1,1,1,,3,603,18.03.2026,592,0,0,592
28,20.03.2026,20.03.2026,Client_id_28,A,0,23.03.2026,0,0,,,10,1,1,1,,4,804,19.03.2026,568,0,0,568
29,22.03.2026,22.03.2026,Client_id_29,A,0,28.03.2026,0,0,,,11,1,1,1,,5,1005,20.03.2026,617,0,0,617
30,19.03.2026,19.03.2026,Client_id_30,A,0,24.03.2026,0,0,,,12,1,1,1,,6,1206,21.03.2026,534,0,0,534
31,16.03.2026,16.03.2026,Client_id_31,A,0,27.03.2026,0,0,,,13,1,1,1,,7,1407,22.03.2026,574,0,0,574
32,22.03.2026,22.03.2026,Client_id_32,A,0,28.03.2026,0,0,,,14,0,1,1,,8,1608,23.03.2026,0,0,0,0
33,16.03.2026,16.03.2026,Client_id_33,A,0,24.03.2026,0,0,,,15,0,1,1,,9,1809,24.03.2026,0,0,0,0
34,20.03.2026,20.03.2026,Client_id_34,A,0,22.03.2026,0,0,,,16,0,0,1,,10,2010,25.03.2026,0,0,0,0
